"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Other major durables for recreation and culture","3,011.0",""
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Health","60,094.3",""
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Recreation and culture","122,119.6",""
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3,298.7",""
"2007","Greece","Percentage of total","Health","5.0",""
"2007","Greece","Percentage of total","Recreation and culture","4.8",""
"2007","Greece","Percentage of total","Other major durables for recreation and culture","0.3",""
"2007","Greece","Current prices, million euro","Health","7,803.9",""
"2007","Greece","Current prices, million euro","Recreation and culture","7,540.6",""
"2007","Greece","Current prices, million euro","Other major durables for recreation and culture","400.8",""
"2007","Greece","Chain linked volumes (2010), million euro","Health","8,627.9",""
"2007","Greece","Chain linked volumes (2010), million euro","Recreation and culture","8,884.3",""
"2007","Greece","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","413.6",""
"2007","France","Percentage of total","Health","3.9",""
"2007","France","Percentage of total","Recreation and culture","9.4",""
"2007","France","Percentage of total","Other major durables for recreation and culture","0.4",""
"2007","France","Current prices, million euro","Health","40,256.0",""
"2007","France","Current prices, million euro","Recreation and culture","98,266.0",""
"2007","France","Current prices, million euro","Other major durables for recreation and culture","4,535.0",""
"2007","France","Chain linked volumes (2010), million euro","Health","40,357.0",""
"2007","France","Chain linked volumes (2010), million euro","Recreation and culture","93,547.0",""
"2007","France","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","4,689.0",""
"2007","Italy","Percentage of total","Health","3.1",""
"2007","Italy","Percentage of total","Recreation and culture","7.0",""
"2007","Italy","Percentage of total","Other major durables for recreation and culture","0.4",""
"2007","Italy","Current prices, million euro","Health","29,577.6",""
"2007","Italy","Current prices, million euro","Recreation and culture","67,356.5",""
"2007","Italy","Current prices, million euro","Other major durables for recreation and culture","3,502.8",""
"2007","Italy","Chain linked volumes (2010), million euro","Health","31,093.5",""
"2007","Italy","Chain linked volumes (2010), million euro","Recreation and culture","68,032.2",""
"2007","Italy","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3,738.2",""
"2007","Latvia","Percentage of total","Health","3.7",""
"2007","Latvia","Percentage of total","Recreation and culture","9.5",""
"2007","Latvia","Percentage of total","Other major durables for recreation and culture","0.0",""
"2007","Latvia","Current prices, million euro","Health","486.7",""
"2007","Latvia","Current prices, million euro","Recreation and culture","1,248.9",""
"2007","Latvia","Current prices, million euro","Other major durables for recreation and culture","4.4",""
"2007","Latvia","Chain linked volumes (2010), million euro","Health","672.9",""
"2007","Latvia","Chain linked volumes (2010), million euro","Recreation and culture","1,376.7",""
"2007","Latvia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3.0",""
"2007","Luxembourg","Percentage of total","Health","1.9",""
"2007","Luxembourg","Percentage of total","Recreation and culture","6.6",""
"2007","Luxembourg","Percentage of total","Other major durables for recreation and culture","0.1",""
"2007","Luxembourg","Current prices, million euro","Health","264.5",""
"2007","Luxembourg","Current prices, million euro","Recreation and culture","902.3",""
"2007","Luxembourg","Current prices, million euro","Other major durables for recreation and culture","18.7",""
"2007","Luxembourg","Chain linked volumes (2010), million euro","Health","271.5",""
"2007","Luxembourg","Chain linked volumes (2010), million euro","Recreation and culture","956.4",""
"2007","Luxembourg","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","19.9",""
"2007","Slovenia","Percentage of total","Health","3.4",""
"2007","Slovenia","Percentage of total","Recreation and culture","10.6",""
"2007","Slovenia","Percentage of total","Other major durables for recreation and culture","0.2",""
"2007","Slovenia","Current prices, million euro","Health","645.5",""
"2007","Slovenia","Current prices, million euro","Recreation and culture","1,996.5",""
"2007","Slovenia","Current prices, million euro","Other major durables for recreation and culture","29.7",""
"2007","Slovenia","Chain linked volumes (2010), million euro","Health","707.6",""
"2007","Slovenia","Chain linked volumes (2010), million euro","Recreation and culture","2,103.4",""
"2007","Slovenia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","31.0",""
"2007","Finland","Percentage of total","Health","4.3",""
"2007","Finland","Percentage of total","Recreation and culture","12.3",""
"2007","Finland","Percentage of total","Other major durables for recreation and culture","0.8",""
"2007","Finland","Current prices, million euro","Health","3,770.0",""
"2007","Finland","Current prices, million euro","Recreation and culture","10,716.0",""
"2007","Finland","Current prices, million euro","Other major durables for recreation and culture","682.0",""
"2007","Finland","Chain linked volumes (2010), million euro","Health","3,986.0",""
"2007","Finland","Chain linked volumes (2010), million euro","Recreation and culture","10,704.0",""
"2007","Finland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","726.0",""
"2007","Switzerland","Percentage of total","Health","10.8",""
"2007","Switzerland","Percentage of total","Recreation and culture","7.7",""
"2007","Switzerland","Percentage of total","Other major durables for recreation and culture",":","c"
"2007","Switzerland","Current prices, million euro","Health","24,307.1",""
"2007","Switzerland","Current prices, million euro","Recreation and culture","17,452.7",""
"2007","Switzerland","Current prices, million euro","Other major durables for recreation and culture",":","c"
"2007","Switzerland","Chain linked volumes (2010), million euro","Health","28,994.6",""
"2007","Switzerland","Chain linked volumes (2010), million euro","Recreation and culture","20,039.1",""
"2007","Switzerland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":","c"
"2007","Bosnia and Herzegovina","Percentage of total","Health","4.2",""
"2007","Bosnia and Herzegovina","Percentage of total","Recreation and culture","4.9",""
"2007","Bosnia and Herzegovina","Percentage of total","Other major durables for recreation and culture",":",""
"2007","Bosnia and Herzegovina","Current prices, million euro","Health",":",""
"2007","Bosnia and Herzegovina","Current prices, million euro","Recreation and culture",":",""
"2007","Bosnia and Herzegovina","Current prices, million euro","Other major durables for recreation and culture",":",""
"2007","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Health",":",""
"2007","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Recreation and culture",":",""
"2007","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":",""
"2008","European Union (28 countries)","Percentage of total","Health","3.5",""
"2008","European Union (28 countries)","Percentage of total","Recreation and culture","9.1",""
"2008","European Union (28 countries)","Percentage of total","Other major durables for recreation and culture","0.4",""
"2008","European Union (28 countries)","Current prices, million euro","Health","251,094.6",""
"2008","European Union (28 countries)","Current prices, million euro","Recreation and culture","658,456.3",""
"2008","European Union (28 countries)","Current prices, million euro","Other major durables for recreation and culture","26,795.9",""
"2008","European Union (28 countries)","Chain linked volumes (2010), million euro","Health","255,422.1",""
"2008","European Union (28 countries)","Chain linked volumes (2010), million euro","Recreation and culture","642,683.6",""
"2008","European Union (28 countries)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","27,093.4",""
"2008","Belgium","Percentage of total","Health","5.6",""
"2008","Belgium","Percentage of total","Recreation and culture","9.3",""
"2008","Belgium","Percentage of total","Other major durables for recreation and culture","0.2",""
"2008","Belgium","Current prices, million euro","Health","9,772.7",""
"2008","Belgium","Current prices, million euro","Recreation and culture","16,207.8",""
"2008","Belgium","Current prices, million euro","Other major durables for recreation and culture","386.6",""
"2008","Belgium","Chain linked volumes (2010), million euro","Health","10,489.2",""
"2008","Belgium","Chain linked volumes (2010), million euro","Recreation and culture","16,469.2",""
"2008","Belgium","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","395.8",""
"2008","Bulgaria","Percentage of total","Health","4.5",""
"2008","Bulgaria","Percentage of total","Recreation and culture","7.9",""
"2008","Bulgaria","Percentage of total","Other major durables for recreation and culture","0.1",""
"2008","Bulgaria","Current prices, million euro","Health","1,150.0",""
"2008","Bulgaria","Current prices, million euro","Recreation and culture","2,030.4",""
"2008","Bulgaria","Current prices, million euro","Other major durables for recreation and culture","21.3",""
"2008","Bulgaria","Chain linked volumes (2010), million euro","Health","1,164.2",""
"2008","Bulgaria","Chain linked volumes (2010), million euro","Recreation and culture","2,055.6",""
"2008","Bulgaria","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","21.6",""
"2008","Denmark","Percentage of total","Health","2.7",""
"2008","Denmark","Percentage of total","Recreation and culture","11.9",""
"2008","Denmark","Percentage of total","Other major durables for recreation and culture","0.6",""
"2008","Denmark","Current prices, million euro","Health","2,983.6",""
"2008","Denmark","Current prices, million euro","Recreation and culture","13,252.3",""
"2008","Denmark","Current prices, million euro","Other major durables for recreation and culture","653.7",""
"2008","Denmark","Chain linked volumes (2010), million euro","Health","3,130.9",""
"2008","Denmark","Chain linked volumes (2010), million euro","Recreation and culture","13,279.7",""
"2008","Denmark","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","665.1",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage of total","Health","4.6",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage of total","Recreation and culture","9.8",""
"2008","Germany (until 1990 former territory of the FRG)","Percentage of total","Other major durables for recreation and culture","0.2",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Health","61,572.0",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Recreation and culture","131,084.0",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Other major durables for recreation and culture","3,082.0",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Health","63,849.3",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Recreation and culture","129,801.2",""
"2008","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3,285.5",""
"2008","Greece","Percentage of total","Health","4.8",""
"2008","Greece","Percentage of total","Recreation and culture","4.7",""
"2008","Greece","Percentage of total","Other major durables for recreation and culture","0.3",""
"2008","Greece","Current prices, million euro","Health","8,008.8",""
"2008","Greece","Current prices, million euro","Recreation and culture","7,923.8",""
"2008","Greece","Current prices, million euro","Other major durables for recreation and culture","451.3",""
"2008","Greece","Chain linked volumes (2010), million euro","Health","8,456.9",""
"2008","Greece","Chain linked volumes (2010), million euro","Recreation and culture","8,911.3",""
"2008","Greece","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","445.7",""
"2008","France","Percentage of total","Health","3.9",""
"2008","France","Percentage of total","Recreation and culture","9.1",""
"2008","France","Percentage of total","Other major durables for recreation and culture","0.4",""
"2008","France","Current prices, million euro","Health","42,331.0",""
"2008","France","Current prices, million euro","Recreation and culture","98,091.0",""
"2008","France","Current prices, million euro","Other major durables for recreation and culture","4,434.0",""
"2008","France","Chain linked volumes (2010), million euro","Health","42,222.0",""
"2008","France","Chain linked volumes (2010), million euro","Recreation and culture","94,938.0",""
"2008","France","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","4,527.0",""
"2008","Italy","Percentage of total","Health","3.2",""
"2008","Italy","Percentage of total","Recreation and culture","6.8",""
"2008","Italy","Percentage of total","Other major durables for recreation and culture","0.3",""
"2008","Italy","Current prices, million euro","Health","31,197.1",""
"2008","Italy","Current prices, million euro","Recreation and culture","67,022.7",""
"2008","Italy","Current prices, million euro","Other major durables for recreation and culture","3,345.9",""
"2008","Italy","Chain linked volumes (2010), million euro","Health","32,421.6",""
"2008","Italy","Chain linked volumes (2010), million euro","Recreation and culture","67,737.3",""
"2008","Italy","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3,485.0",""
"2008","Latvia","Percentage of total","Health","3.6",""
"2008","Latvia","Percentage of total","Recreation and culture","9.4",""
"2008","Latvia","Percentage of total","Other major durables for recreation and culture","0.0",""
"2008","Latvia","Current prices, million euro","Health","500.4",""
"2008","Latvia","Current prices, million euro","Recreation and culture","1,293.6",""
"2008","Latvia","Current prices, million euro","Other major durables for recreation and culture","4.3",""
"2008","Latvia","Chain linked volumes (2010), million euro","Health","596.5",""
"2008","Latvia","Chain linked volumes (2010), million euro","Recreation and culture","1,297.1",""
"2008","Latvia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3.4",""
"2008","Luxembourg","Percentage of total","Health","1.9",""
"2008","Luxembourg","Percentage of total","Recreation and culture","6.3",""
"2008","Luxembourg","Percentage of total","Other major durables for recreation and culture","0.1",""
"2008","Luxembourg","Current prices, million euro","Health","274.7",""
"2008","Luxembourg","Current prices, million euro","Recreation and culture","905.9",""
"2008","Luxembourg","Current prices, million euro","Other major durables for recreation and culture","20.4",""
"2008","Luxembourg","Chain linked volumes (2010), million euro","Health","278.0",""
"2008","Luxembourg","Chain linked volumes (2010), million euro","Recreation and culture","951.1",""
"2008","Luxembourg","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","21.3",""
"2008","Slovenia","Percentage of total","Health","3.5",""
"2008","Slovenia","Percentage of total","Recreation and culture","10.2",""
"2008","Slovenia","Percentage of total","Other major durables for recreation and culture","0.2",""
"2008","Slovenia","Current prices, million euro","Health","710.8",""
"2008","Slovenia","Current prices, million euro","Recreation and culture","2,077.5",""
"2008","Slovenia","Current prices, million euro","Other major durables for recreation and culture","31.6",""
"2008","Slovenia","Chain linked volumes (2010), million euro","Health","753.0",""
"2008","Slovenia","Chain linked volumes (2010), million euro","Recreation and culture","2,121.5",""
"2008","Slovenia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","31.9",""
"2008","Finland","Percentage of total","Health","4.3",""
"2008","Finland","Percentage of total","Recreation and culture","12.2",""
"2008","Finland","Percentage of total","Other major durables for recreation and culture","0.8",""
"2008","Finland","Current prices, million euro","Health","3,985.0",""
"2008","Finland","Current prices, million euro","Recreation and culture","11,192.0",""
"2008","Finland","Current prices, million euro","Other major durables for recreation and culture","712.0",""
"2008","Finland","Chain linked volumes (2010), million euro","Health","4,129.0",""
"2008","Finland","Chain linked volumes (2010), million euro","Recreation and culture","11,237.0",""
"2008","Finland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","739.0",""
"2008","Switzerland","Percentage of total","Health","10.8",""
"2008","Switzerland","Percentage of total","Recreation and culture","7.6",""
"2008","Switzerland","Percentage of total","Other major durables for recreation and culture",":","c"
"2008","Switzerland","Current prices, million euro","Health","26,270.4",""
"2008","Switzerland","Current prices, million euro","Recreation and culture","18,448.8",""
"2008","Switzerland","Current prices, million euro","Other major durables for recreation and culture",":","c"
"2008","Switzerland","Chain linked volumes (2010), million euro","Health","30,301.2",""
"2008","Switzerland","Chain linked volumes (2010), million euro","Recreation and culture","20,429.2",""
"2008","Switzerland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":","c"
"2008","Bosnia and Herzegovina","Percentage of total","Health","4.4",""
"2008","Bosnia and Herzegovina","Percentage of total","Recreation and culture","5.1",""
"2008","Bosnia and Herzegovina","Percentage of total","Other major durables for recreation and culture",":",""
"2008","Bosnia and Herzegovina","Current prices, million euro","Health",":",""
"2008","Bosnia and Herzegovina","Current prices, million euro","Recreation and culture",":",""
"2008","Bosnia and Herzegovina","Current prices, million euro","Other major durables for recreation and culture",":",""
"2008","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Health",":",""
"2008","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Recreation and culture",":",""
"2008","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":",""
"2009","European Union (28 countries)","Percentage of total","Health","3.7",""
"2009","European Union (28 countries)","Percentage of total","Recreation and culture","9.0",""
"2009","European Union (28 countries)","Percentage of total","Other major durables for recreation and culture","0.4",""
"2009","European Union (28 countries)","Current prices, million euro","Health","252,683.5",""
"2009","European Union (28 countries)","Current prices, million euro","Recreation and culture","623,707.1",""
"2009","European Union (28 countries)","Current prices, million euro","Other major durables for recreation and culture","24,705.9",""
"2009","European Union (28 countries)","Chain linked volumes (2010), million euro","Health","258,502.0",""
"2009","European Union (28 countries)","Chain linked volumes (2010), million euro","Recreation and culture","630,836.4",""
"2009","European Union (28 countries)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","25,676.4",""
"2009","Belgium","Percentage of total","Health","6.0",""
"2009","Belgium","Percentage of total","Recreation and culture","9.3",""
"2009","Belgium","Percentage of total","Other major durables for recreation and culture","0.2",""
"2009","Belgium","Current prices, million euro","Health","10,501.3",""
"2009","Belgium","Current prices, million euro","Recreation and culture","16,211.9",""
"2009","Belgium","Current prices, million euro","Other major durables for recreation and culture","435.1",""
"2009","Belgium","Chain linked volumes (2010), million euro","Health","10,677.5",""
"2009","Belgium","Chain linked volumes (2010), million euro","Recreation and culture","16,311.5",""
"2009","Belgium","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","437.9",""
"2009","Bulgaria","Percentage of total","Health","5.2",""
"2009","Bulgaria","Percentage of total","Recreation and culture","7.3",""
"2009","Bulgaria","Percentage of total","Other major durables for recreation and culture","0.1",""
"2009","Bulgaria","Current prices, million euro","Health","1,286.2",""
"2009","Bulgaria","Current prices, million euro","Recreation and culture","1,818.3",""
"2009","Bulgaria","Current prices, million euro","Other major durables for recreation and culture","21.8",""
"2009","Bulgaria","Chain linked volumes (2010), million euro","Health","1,323.4",""
"2009","Bulgaria","Chain linked volumes (2010), million euro","Recreation and culture","1,870.9",""
"2009","Bulgaria","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","22.5",""
"2009","Denmark","Percentage of total","Health","3.0",""
"2009","Denmark","Percentage of total","Recreation and culture","11.5",""
"2009","Denmark","Percentage of total","Other major durables for recreation and culture","0.6",""
"2009","Denmark","Current prices, million euro","Health","3,236.6",""
"2009","Denmark","Current prices, million euro","Recreation and culture","12,472.4",""
"2009","Denmark","Current prices, million euro","Other major durables for recreation and culture","603.5",""
"2009","Denmark","Chain linked volumes (2010), million euro","Health","3,271.0",""
"2009","Denmark","Chain linked volumes (2010), million euro","Recreation and culture","12,447.7",""
"2009","Denmark","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","608.0",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage of total","Health","4.9",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage of total","Recreation and culture","9.8",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage of total","Other major durables for recreation and culture","0.2",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Health","65,114.0",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Recreation and culture","131,531.0",""
"2009","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Other major durables for recreation and culture","2,878.0",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Health","66,681.2",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Recreation and culture","130,668.1",""
"2009","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","2,947.5",""
"2009","Greece","Percentage of total","Health","4.7",""
"2009","Greece","Percentage of total","Recreation and culture","5.0",""
"2009","Greece","Percentage of total","Other major durables for recreation and culture","0.3",""
"2009","Greece","Current prices, million euro","Health","7,697.8",""
"2009","Greece","Current prices, million euro","Recreation and culture","8,258.2",""
"2009","Greece","Current prices, million euro","Other major durables for recreation and culture","430.8",""
"2009","Greece","Chain linked volumes (2010), million euro","Health","7,870.7",""
"2009","Greece","Chain linked volumes (2010), million euro","Recreation and culture","9,365.6",""
"2009","Greece","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","450.0",""
"2009","France","Percentage of total","Health","4.1",""
"2009","France","Percentage of total","Recreation and culture","9.1",""
"2009","France","Percentage of total","Other major durables for recreation and culture","0.4",""
"2009","France","Current prices, million euro","Health","43,541.0",""
"2009","France","Current prices, million euro","Recreation and culture","96,322.0",""
"2009","France","Current prices, million euro","Other major durables for recreation and culture","4,276.0",""
"2009","France","Chain linked volumes (2010), million euro","Health","43,512.0",""
"2009","France","Chain linked volumes (2010), million euro","Recreation and culture","95,029.0",""
"2009","France","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","4,358.0",""
"2009","Italy","Percentage of total","Health","3.2",""
"2009","Italy","Percentage of total","Recreation and culture","7.0",""
"2009","Italy","Percentage of total","Other major durables for recreation and culture","0.3",""
"2009","Italy","Current prices, million euro","Health","30,630.9",""
"2009","Italy","Current prices, million euro","Recreation and culture","67,024.8",""
"2009","Italy","Current prices, million euro","Other major durables for recreation and culture","3,037.8",""
"2009","Italy","Chain linked volumes (2010), million euro","Health","30,967.8",""
"2009","Italy","Chain linked volumes (2010), million euro","Recreation and culture","67,340.4",""
"2009","Italy","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","3,073.1",""
"2009","Latvia","Percentage of total","Health","4.2",""
"2009","Latvia","Percentage of total","Recreation and culture","8.4",""
"2009","Latvia","Percentage of total","Other major durables for recreation and culture","0.0",""
"2009","Latvia","Current prices, million euro","Health","471.4",""
"2009","Latvia","Current prices, million euro","Recreation and culture","936.5",""
"2009","Latvia","Current prices, million euro","Other major durables for recreation and culture","1.8",""
"2009","Latvia","Chain linked volumes (2010), million euro","Health","463.8",""
"2009","Latvia","Chain linked volumes (2010), million euro","Recreation and culture","893.3",""
"2009","Latvia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","1.6",""
"2009","Luxembourg","Percentage of total","Health","2.0",""
"2009","Luxembourg","Percentage of total","Recreation and culture","6.5",""
"2009","Luxembourg","Percentage of total","Other major durables for recreation and culture","0.1",""
"2009","Luxembourg","Current prices, million euro","Health","288.1",""
"2009","Luxembourg","Current prices, million euro","Recreation and culture","924.0",""
"2009","Luxembourg","Current prices, million euro","Other major durables for recreation and culture","20.9",""
"2009","Luxembourg","Chain linked volumes (2010), million euro","Health","294.3",""
"2009","Luxembourg","Chain linked volumes (2010), million euro","Recreation and culture","934.1",""
"2009","Luxembourg","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","21.3",""
"2009","Slovenia","Percentage of total","Health","3.6",""
"2009","Slovenia","Percentage of total","Recreation and culture","9.2",""
"2009","Slovenia","Percentage of total","Other major durables for recreation and culture","0.1",""
"2009","Slovenia","Current prices, million euro","Health","749.5",""
"2009","Slovenia","Current prices, million euro","Recreation and culture","1,897.3",""
"2009","Slovenia","Current prices, million euro","Other major durables for recreation and culture","28.9",""
"2009","Slovenia","Chain linked volumes (2010), million euro","Health","763.2",""
"2009","Slovenia","Chain linked volumes (2010), million euro","Recreation and culture","1,897.6",""
"2009","Slovenia","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","28.8",""
"2009","Finland","Percentage of total","Health","4.3",""
"2009","Finland","Percentage of total","Recreation and culture","12.0",""
"2009","Finland","Percentage of total","Other major durables for recreation and culture","0.8",""
"2009","Finland","Current prices, million euro","Health","3,850.0",""
"2009","Finland","Current prices, million euro","Recreation and culture","10,793.0",""
"2009","Finland","Current prices, million euro","Other major durables for recreation and culture","694.0",""
"2009","Finland","Chain linked volumes (2010), million euro","Health","3,861.0",""
"2009","Finland","Chain linked volumes (2010), million euro","Recreation and culture","10,790.0",""
"2009","Finland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","708.0",""
"2009","Switzerland","Percentage of total","Health","11.1",""
"2009","Switzerland","Percentage of total","Recreation and culture","7.6",""
"2009","Switzerland","Percentage of total","Other major durables for recreation and culture",":","c"
"2009","Switzerland","Current prices, million euro","Health","28,655.4",""
"2009","Switzerland","Current prices, million euro","Recreation and culture","19,564.5",""
"2009","Switzerland","Current prices, million euro","Other major durables for recreation and culture",":","c"
"2009","Switzerland","Chain linked volumes (2010), million euro","Health","31,343.5",""
"2009","Switzerland","Chain linked volumes (2010), million euro","Recreation and culture","20,873.0",""
"2009","Switzerland","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":","c"
"2009","Bosnia and Herzegovina","Percentage of total","Health","4.6",""
"2009","Bosnia and Herzegovina","Percentage of total","Recreation and culture","4.7",""
"2009","Bosnia and Herzegovina","Percentage of total","Other major durables for recreation and culture",":",""
"2009","Bosnia and Herzegovina","Current prices, million euro","Health",":",""
"2009","Bosnia and Herzegovina","Current prices, million euro","Recreation and culture",":",""
"2009","Bosnia and Herzegovina","Current prices, million euro","Other major durables for recreation and culture",":",""
"2009","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Health",":",""
"2009","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Recreation and culture",":",""
"2009","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Other major durables for recreation and culture",":",""
"2010","European Union (28 countries)","Percentage of total","Health","3.7",""
"2010","European Union (28 countries)","Percentage of total","Recreation and culture","9.0",""
"2010","European Union (28 countries)","Percentage of total","Other major durables for recreation and culture","0.4",""
"2010","European Union (28 countries)","Current prices, million euro","Health","265,730.4",""
"2010","European Union (28 countries)","Current prices, million euro","Recreation and culture","643,023.6",""
"2010","European Union (28 countries)","Current prices, million euro","Other major durables for recreation and culture","26,113.7",""
