"TIME","GEO","SEX","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"2008","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2008","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2008","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2008","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2008","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.9",""
"2008","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.4",""
"2008","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.3",""
"2008","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.5",""
"2008","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.1",""
"2008","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.1",""
"2008","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.3",""
"2008","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.7",""
"2008","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.9",""
"2008","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.8",""
"2008","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.0",""
"2008","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2009","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.7",""
"2009","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.5",""
"2009","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.0",""
"2009","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.6",""
"2009","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.0",""
"2009","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.4",""
"2009","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.3",""
"2009","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.3",""
"2009","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2009","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2009","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2009","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2009","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.1",""
"2009","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.5",""
"2009","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.4",""
"2009","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.7",""
"2009","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.4",""
"2009","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","74.7",""
"2009","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.3",""
"2009","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2009","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.1",""
"2009","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.9",""
"2009","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.1",""
"2009","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2010","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.8",""
"2010","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","67.1",""
"2010","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.0",""
"2010","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.4",""
"2010","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.3",""
"2010","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.5",""
"2010","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.6",""
"2010","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.6",""
"2010","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2010","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2010","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2010","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2010","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.3",""
"2010","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.7",""
"2010","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.4",""
"2010","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.9",""
"2010","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.8",""
"2010","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.1",""
"2010","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.6",""
"2010","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.3",""
"2010","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.2",""
"2010","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.0",""
"2010","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.2",""
"2010","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.8",""
"2011","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.2",""
"2011","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.7",""
"2011","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.6",""
"2011","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.9",""
"2011","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.9",""
"2011","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.0",""
"2011","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.3",""
"2011","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.0",""
"2011","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2011","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2011","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2011","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2011","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.4",""
"2011","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.8",""
"2011","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.2",""
"2011","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.7",""
"2011","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.1",""
"2011","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.9",""
"2011","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.2",""
"2011","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.7",""
"2011","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.6",""
"2011","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.2",""
"2011","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.7",""
"2011","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.1",""
"2012","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.4",""
"2012","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.1",""
"2012","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","77.1",""
"2012","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","79.3",""
"2012","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.2",""
"2012","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.4",""
"2012","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.5",""
"2012","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.3",""
"2012","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2012","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2012","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2012","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2012","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.4",""
"2012","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.8",""
"2012","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.2",""
"2012","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.0",""
"2012","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.3",""
"2012","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.3",""
"2012","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.7",""
"2012","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.4",""
"2012","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.7",""
"2012","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.5",""
"2012","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.7",""
"2012","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.1",""
"2013","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.9",""
"2013","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","68.7","b"
"2013","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","76.3","b"
"2013","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.7","b"
"2013","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.4",""
"2013","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.6",""
"2013","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.6",""
"2013","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.5",""
"2013","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.4",""
"2013","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.4",""
"2013","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","82.5",""
"2013","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.6",""
"2013","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.9",""
"2013","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.9",""
"2013","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","85.0",""
"2013","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.9",""
"2013","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.5",""
"2013","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.7",""
"2013","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.6",""
"2013","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.6",""
"2013","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.1",""
"2013","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.9",""
"2013","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.1",""
"2013","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.4",""
"2014","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.5",""
"2014","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.7",""
"2014","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.1",""
"2014","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","77.6",""
"2014","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.7",""
"2014","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.7",""
"2014","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.0",""
"2014","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.9",""
"2014","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.5",""
"2014","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.1",""
"2014","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","82.0",""
"2014","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.7",""
"2014","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","83.2",""
"2014","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","81.2",""
"2014","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","85.2",""
"2014","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","85.3",""
"2014","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.2",""
"2014","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.1",""
"2014","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.2",""
"2014","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.4",""
"2014","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.3",""
"2014","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.0",""
"2014","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.1",""
"2014","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.6",""
"2015","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","74.7",""
"2015","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","70.4",""
"2015","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.3",""
"2015","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","77.7",""
"2015","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.8",""
"2015","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","77.8",""
"2015","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.1",""
"2015","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.9",""
"2015","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.1",""
"2015","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","79.3",""
"2015","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","82.0",""
"2015","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.6",""
"2015","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","82.7",""
"2015","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.6",""
"2015","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.6",""
"2015","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.6",""
"2015","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","80.9",""
"2015","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.6",""
"2015","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","80.9",""
"2015","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.2",""
"2015","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.6",""
"2015","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","78.4",""
"2015","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","81.4",""
"2015","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","83.9",""
