"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Major durables for indoor recreation","Italy","Purchasing power standard (PPS)","2010","8.8",""
"Major durables for indoor recreation","Latvia","Purchasing power standard (PPS)","2010","0",""
"Major durables for indoor recreation","Luxembourg","Purchasing power standard (PPS)","2010","20.5",""
"Major durables for indoor recreation","Slovenia","Purchasing power standard (PPS)","2010","8.5",""
"Major durables for indoor recreation","Finland","Purchasing power standard (PPS)","2010","15.8",""
"Maintenance and repair of other major durables for recreation and culture","Belgium","Purchasing power standard (PPS)","2010","2.3",""
"Maintenance and repair of other major durables for recreation and culture","Bulgaria","Purchasing power standard (PPS)","2010","0",""
"Maintenance and repair of other major durables for recreation and culture","Denmark","Purchasing power standard (PPS)","2010","3.3",""
"Maintenance and repair of other major durables for recreation and culture","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","9.7",""
"Maintenance and repair of other major durables for recreation and culture","Greece","Purchasing power standard (PPS)","2010","1.9",""
"Maintenance and repair of other major durables for recreation and culture","France","Purchasing power standard (PPS)","2010","0.8",""
"Maintenance and repair of other major durables for recreation and culture","Italy","Purchasing power standard (PPS)","2010","0",""
"Maintenance and repair of other major durables for recreation and culture","Latvia","Purchasing power standard (PPS)","2010","0",""
"Maintenance and repair of other major durables for recreation and culture","Luxembourg","Purchasing power standard (PPS)","2010","2.3",""
"Maintenance and repair of other major durables for recreation and culture","Slovenia","Purchasing power standard (PPS)","2010","11.1",""
"Maintenance and repair of other major durables for recreation and culture","Finland","Purchasing power standard (PPS)","2010","21.3",""
"Equipment for sport, camping and open-air recreation","Belgium","Purchasing power standard (PPS)","2010","36",""
"Equipment for sport, camping and open-air recreation","Bulgaria","Purchasing power standard (PPS)","2010","0.9",""
"Equipment for sport, camping and open-air recreation","Denmark","Purchasing power standard (PPS)","2010","51.4",""
"Equipment for sport, camping and open-air recreation","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","66.4",""
"Equipment for sport, camping and open-air recreation","Greece","Purchasing power standard (PPS)","2010","22.3",""
"Equipment for sport, camping and open-air recreation","France","Purchasing power standard (PPS)","2010","27.7",""
"Equipment for sport, camping and open-air recreation","Italy","Purchasing power standard (PPS)","2010","26.2",""
"Equipment for sport, camping and open-air recreation","Latvia","Purchasing power standard (PPS)","2010","13.7",""
"Equipment for sport, camping and open-air recreation","Luxembourg","Purchasing power standard (PPS)","2010","25.3",""
"Equipment for sport, camping and open-air recreation","Slovenia","Purchasing power standard (PPS)","2010","90.4",""
"Equipment for sport, camping and open-air recreation","Finland","Purchasing power standard (PPS)","2010","176",""
"Recreational and sporting services","Belgium","Purchasing power standard (PPS)","2010","223.5",""
"Recreational and sporting services","Bulgaria","Purchasing power standard (PPS)","2010","6.5",""
"Recreational and sporting services","Denmark","Purchasing power standard (PPS)","2010","168.1",""
"Recreational and sporting services","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","219",""
"Recreational and sporting services","Greece","Purchasing power standard (PPS)","2010","59.6",""
"Recreational and sporting services","France","Purchasing power standard (PPS)","2010","218.1",""
"Recreational and sporting services","Italy","Purchasing power standard (PPS)","2010","133.3",""
"Recreational and sporting services","Latvia","Purchasing power standard (PPS)","2010","56",""
"Recreational and sporting services","Luxembourg","Purchasing power standard (PPS)","2010","322.2",""
"Recreational and sporting services","Slovenia","Purchasing power standard (PPS)","2010","188.1",""
"Recreational and sporting services","Finland","Purchasing power standard (PPS)","2010","232",""
