"TIME","GEO","NA_ITEM","AGGREG","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Nominal expenditure in national currency","Gross Domestic Product","12,983,723",""
"2007","European Union (28 countries)","Nominal expenditure in national currency","Actual individual consumption","8,907,078",""
"2007","European Union (28 countries)","Nominal expenditure in national currency","Food and non-alcoholic beverages","860,829",""
"2007","European Union (28 countries)","Nominal expenditure in national currency","Food","780,484",""
"2007","European Union (28 countries)","Nominal expenditure in national currency","Bread and cereals","137,575",""
"2007","European Union (28 countries)","Nominal expenditure as a percentage of GDP (GDP=100)","Gross Domestic Product","100.0",""
"2007","European Union (28 countries)","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","68.6",""
"2007","European Union (28 countries)","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","6.6",""
"2007","European Union (28 countries)","Nominal expenditure as a percentage of GDP (GDP=100)","Food","6.0",""
"2007","European Union (28 countries)","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","1.1",""
"2007","European Union (28 countries)","Nominal expenditure (in euro)","Gross Domestic Product","12,983,723",""
"2007","European Union (28 countries)","Nominal expenditure (in euro)","Actual individual consumption","8,907,078",""
"2007","European Union (28 countries)","Nominal expenditure (in euro)","Food and non-alcoholic beverages","860,829",""
"2007","European Union (28 countries)","Nominal expenditure (in euro)","Food","780,484",""
"2007","European Union (28 countries)","Nominal expenditure (in euro)","Bread and cereals","137,575",""
"2007","European Union (28 countries)","Nominal expenditure per inhabitant (in euro)","Gross Domestic Product","26,042",""
"2007","European Union (28 countries)","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","17,865",""
"2007","European Union (28 countries)","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","1,727",""
"2007","European Union (28 countries)","Nominal expenditure per inhabitant (in euro)","Food","1,565",""
"2007","European Union (28 countries)","Nominal expenditure per inhabitant (in euro)","Bread and cereals","276",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU28)","Gross Domestic Product","12,983,723",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU28)","Actual individual consumption","8,907,078",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","860,829",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU28)","Food","780,484",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU28)","Bread and cereals","137,575",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU27)","Gross Domestic Product","13,008,591",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU27)","Actual individual consumption","8,922,340",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","861,615",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU27)","Food","781,312",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU27)","Bread and cereals","137,747",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU15)","Gross Domestic Product","13,693,446",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU15)","Actual individual consumption","9,442,554",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","909,207",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU15)","Food","827,367",""
"2007","European Union (28 countries)","Real expenditure (in PPS_EU15)","Bread and cereals","146,151",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU28)","Gross Domestic Product","26,000",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","17,900",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","1,700",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU28)","Food","1,600",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU28)","Bread and cereals","300",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU27)","Gross Domestic Product","26,100",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU27)","Actual individual consumption","17,900",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU27)","Food and non-alcoholic beverages","1,700",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU27)","Food","1,600",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU27)","Bread and cereals","300",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU15)","Gross Domestic Product","27,500",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU15)","Actual individual consumption","18,900",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU15)","Food and non-alcoholic beverages","1,800",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU15)","Food","1,700",""
"2007","European Union (28 countries)","Real expenditure per capita (in PPS_EU15)","Bread and cereals","300",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU28=100)","Gross Domestic Product","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU28=100)","Actual individual consumption","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU28=100)","Food and non-alcoholic beverages","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU28=100)","Food","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU28=100)","Bread and cereals","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU27=100)","Gross Domestic Product","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU27=100)","Actual individual consumption","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU27=100)","Food and non-alcoholic beverages","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU27=100)","Food","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU27=100)","Bread and cereals","100",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU15=100)","Gross Domestic Product","89",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU15=100)","Actual individual consumption","90",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU15=100)","Food and non-alcoholic beverages","95",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU15=100)","Food","95",""
"2007","European Union (28 countries)","Volume indices of real expenditure per capita in PPS (EU15=100)","Bread and cereals","94",""
"2007","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06739",""
"2007","Belgium","Purchasing power parities (EU28=1)","Actual individual consumption","1.07996",""
"2007","Belgium","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.11839",""
"2007","Belgium","Purchasing power parities (EU28=1)","Food","1.12998",""
"2007","Belgium","Purchasing power parities (EU28=1)","Bread and cereals","1.13299",""
"2007","Belgium","Purchasing power parities (EU27=1)","Gross Domestic Product","1.06535",""
"2007","Belgium","Purchasing power parities (EU27=1)","Actual individual consumption","1.07811",""
"2007","Belgium","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","1.11737",""
"2007","Belgium","Purchasing power parities (EU27=1)","Food","1.12878",""
"2007","Belgium","Purchasing power parities (EU27=1)","Bread and cereals","1.13157",""
"2007","Belgium","Purchasing power parities (EU15=1)","Gross Domestic Product","1.01207",""
"2007","Belgium","Purchasing power parities (EU15=1)","Actual individual consumption","1.01871",""
"2007","Belgium","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","1.05888",""
"2007","Belgium","Purchasing power parities (EU15=1)","Food","1.06595",""
"2007","Belgium","Purchasing power parities (EU15=1)","Bread and cereals","1.06651",""
"2007","Belgium","Price level indices (EU28=100)","Gross Domestic Product","106.7",""
"2007","Belgium","Price level indices (EU28=100)","Actual individual consumption","108.0",""
"2007","Belgium","Price level indices (EU28=100)","Food and non-alcoholic beverages","111.8",""
"2007","Belgium","Price level indices (EU28=100)","Food","113.0",""
"2007","Belgium","Price level indices (EU28=100)","Bread and cereals","113.3",""
"2007","Belgium","Price level indices (EU27=100)","Gross Domestic Product","106.5",""
"2007","Belgium","Price level indices (EU27=100)","Actual individual consumption","107.8",""
"2007","Belgium","Price level indices (EU27=100)","Food and non-alcoholic beverages","111.7",""
"2007","Belgium","Price level indices (EU27=100)","Food","112.9",""
"2007","Belgium","Price level indices (EU27=100)","Bread and cereals","113.2",""
"2007","Belgium","Price level indices (EU15=100)","Gross Domestic Product","101.2",""
"2007","Belgium","Price level indices (EU15=100)","Actual individual consumption","101.9",""
"2007","Belgium","Price level indices (EU15=100)","Food and non-alcoholic beverages","105.9",""
"2007","Belgium","Price level indices (EU15=100)","Food","106.6",""
"2007","Belgium","Price level indices (EU15=100)","Bread and cereals","106.7",""
"2007","Belgium","Nominal expenditure in national currency","Gross Domestic Product","344,713",""
"2007","Belgium","Nominal expenditure in national currency","Actual individual consumption","218,857",""
"2007","Belgium","Nominal expenditure in national currency","Food and non-alcoholic beverages","20,661",""
"2007","Belgium","Nominal expenditure in national currency","Food","18,799",""
"2007","Belgium","Nominal expenditure in national currency","Bread and cereals","3,902",""
"2007","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Gross Domestic Product","100.0",""
"2007","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","63.5",""
"2007","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","6.0",""
"2007","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Food","5.5",""
"2007","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","1.1",""
"2007","Belgium","Nominal expenditure (in euro)","Gross Domestic Product","344,713",""
"2007","Belgium","Nominal expenditure (in euro)","Actual individual consumption","218,857",""
"2007","Belgium","Nominal expenditure (in euro)","Food and non-alcoholic beverages","20,661",""
"2007","Belgium","Nominal expenditure (in euro)","Food","18,799",""
"2007","Belgium","Nominal expenditure (in euro)","Bread and cereals","3,902",""
"2007","Belgium","Nominal expenditure per inhabitant (in euro)","Gross Domestic Product","32,453",""
"2007","Belgium","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","20,604",""
"2007","Belgium","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","1,945",""
"2007","Belgium","Nominal expenditure per inhabitant (in euro)","Food","1,770",""
"2007","Belgium","Nominal expenditure per inhabitant (in euro)","Bread and cereals","367",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","322,949",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Actual individual consumption","202,653",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","18,474",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Food","16,636",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Bread and cereals","3,444",""
"2007","Belgium","Real expenditure (in PPS_EU27)","Gross Domestic Product","323,567",""
"2007","Belgium","Real expenditure (in PPS_EU27)","Actual individual consumption","203,001",""
"2007","Belgium","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","18,491",""
"2007","Belgium","Real expenditure (in PPS_EU27)","Food","16,654",""
"2007","Belgium","Real expenditure (in PPS_EU27)","Bread and cereals","3,448",""
"2007","Belgium","Real expenditure (in PPS_EU15)","Gross Domestic Product","340,602",""
"2007","Belgium","Real expenditure (in PPS_EU15)","Actual individual consumption","214,836",""
"2007","Belgium","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","19,512",""
"2007","Belgium","Real expenditure (in PPS_EU15)","Food","17,636",""
"2007","Belgium","Real expenditure (in PPS_EU15)","Bread and cereals","3,659",""
"2007","Belgium","Real expenditure per capita (in PPS_EU28)","Gross Domestic Product","30,400",""
"2007","Belgium","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","19,100",""
"2007","Belgium","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","1,700",""
"2007","Belgium","Real expenditure per capita (in PPS_EU28)","Food","1,600",""
"2007","Belgium","Real expenditure per capita (in PPS_EU28)","Bread and cereals","300",""
"2007","Belgium","Real expenditure per capita (in PPS_EU27)","Gross Domestic Product","30,500",""
"2007","Belgium","Real expenditure per capita (in PPS_EU27)","Actual individual consumption","19,100",""
"2007","Belgium","Real expenditure per capita (in PPS_EU27)","Food and non-alcoholic beverages","1,700",""
"2007","Belgium","Real expenditure per capita (in PPS_EU27)","Food","1,600",""
"2007","Belgium","Real expenditure per capita (in PPS_EU27)","Bread and cereals","300",""
"2007","Belgium","Real expenditure per capita (in PPS_EU15)","Gross Domestic Product","32,100",""
"2007","Belgium","Real expenditure per capita (in PPS_EU15)","Actual individual consumption","20,200",""
"2007","Belgium","Real expenditure per capita (in PPS_EU15)","Food and non-alcoholic beverages","1,800",""
"2007","Belgium","Real expenditure per capita (in PPS_EU15)","Food","1,700",""
"2007","Belgium","Real expenditure per capita (in PPS_EU15)","Bread and cereals","300",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Gross Domestic Product","117",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Actual individual consumption","107",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Food and non-alcoholic beverages","101",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Food","100",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Bread and cereals","118",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Gross Domestic Product","116",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Actual individual consumption","106",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Food and non-alcoholic beverages","101",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Food","100",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Bread and cereals","118",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Gross Domestic Product","104",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Actual individual consumption","96",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Food and non-alcoholic beverages","96",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Food","95",""
"2007","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Bread and cereals","111",""
"2007","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.797147",""
"2007","Bulgaria","Purchasing power parities (EU28=1)","Actual individual consumption","0.801897",""
"2007","Bulgaria","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.19728",""
"2007","Bulgaria","Purchasing power parities (EU28=1)","Food","1.17022",""
"2007","Bulgaria","Purchasing power parities (EU28=1)","Bread and cereals","1.03566",""
"2007","Bulgaria","Purchasing power parities (EU27=1)","Gross Domestic Product","0.795623",""
"2007","Bulgaria","Purchasing power parities (EU27=1)","Actual individual consumption","0.800525",""
"2007","Bulgaria","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","1.19619",""
"2007","Bulgaria","Purchasing power parities (EU27=1)","Food","1.16898",""
"2007","Bulgaria","Purchasing power parities (EU27=1)","Bread and cereals","1.03437",""
"2007","Bulgaria","Purchasing power parities (EU15=1)","Gross Domestic Product","0.755831",""
"2007","Bulgaria","Purchasing power parities (EU15=1)","Actual individual consumption","0.756422",""
"2007","Bulgaria","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","1.13358",""
"2007","Bulgaria","Purchasing power parities (EU15=1)","Food","1.10391",""
"2007","Bulgaria","Purchasing power parities (EU15=1)","Bread and cereals","0.974894",""
"2007","Bulgaria","Price level indices (EU28=100)","Gross Domestic Product","40.8",""
"2007","Bulgaria","Price level indices (EU28=100)","Actual individual consumption","41.0",""
"2007","Bulgaria","Price level indices (EU28=100)","Food and non-alcoholic beverages","61.2",""
"2007","Bulgaria","Price level indices (EU28=100)","Food","59.8",""
"2007","Bulgaria","Price level indices (EU28=100)","Bread and cereals","53.0",""
"2007","Bulgaria","Price level indices (EU27=100)","Gross Domestic Product","40.7",""
"2007","Bulgaria","Price level indices (EU27=100)","Actual individual consumption","40.9",""
"2007","Bulgaria","Price level indices (EU27=100)","Food and non-alcoholic beverages","61.2",""
"2007","Bulgaria","Price level indices (EU27=100)","Food","59.8",""
"2007","Bulgaria","Price level indices (EU27=100)","Bread and cereals","52.9",""
"2007","Bulgaria","Price level indices (EU15=100)","Gross Domestic Product","38.6",""
"2007","Bulgaria","Price level indices (EU15=100)","Actual individual consumption","38.7",""
"2007","Bulgaria","Price level indices (EU15=100)","Food and non-alcoholic beverages","58.0",""
"2007","Bulgaria","Price level indices (EU15=100)","Food","56.4",""
"2007","Bulgaria","Price level indices (EU15=100)","Bread and cereals","49.8",""
"2007","Bulgaria","Nominal expenditure in national currency","Gross Domestic Product","63,464",""
"2007","Bulgaria","Nominal expenditure in national currency","Actual individual consumption","48,233",""
"2007","Bulgaria","Nominal expenditure in national currency","Food and non-alcoholic beverages","8,512",""
"2007","Bulgaria","Nominal expenditure in national currency","Food","7,360",""
"2007","Bulgaria","Nominal expenditure in national currency","Bread and cereals","1,238",""
"2007","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Gross Domestic Product","100.0",""
"2007","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","76.0",""
"2007","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","13.4",""
"2007","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Food","11.6",""
"2007","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","2.0",""
"2007","Bulgaria","Nominal expenditure (in euro)","Gross Domestic Product","32,449",""
"2007","Bulgaria","Nominal expenditure (in euro)","Actual individual consumption","24,661",""
"2007","Bulgaria","Nominal expenditure (in euro)","Food and non-alcoholic beverages","4,352",""
"2007","Bulgaria","Nominal expenditure (in euro)","Food","3,763",""
"2007","Bulgaria","Nominal expenditure (in euro)","Bread and cereals","633",""
"2007","Bulgaria","Nominal expenditure per inhabitant (in euro)","Gross Domestic Product","4,301",""
"2007","Bulgaria","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","3,268",""
"2007","Bulgaria","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","577",""
"2007","Bulgaria","Nominal expenditure per inhabitant (in euro)","Food","499",""
"2007","Bulgaria","Nominal expenditure per inhabitant (in euro)","Bread and cereals","84",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","79,614",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Actual individual consumption","60,148",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","7,109",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Food","6,290",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Bread and cereals","1,196",""
"2007","Bulgaria","Real expenditure (in PPS_EU27)","Gross Domestic Product","79,766",""
"2007","Bulgaria","Real expenditure (in PPS_EU27)","Actual individual consumption","60,251",""
"2007","Bulgaria","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","7,116",""
"2007","Bulgaria","Real expenditure (in PPS_EU27)","Food","6,296",""
"2007","Bulgaria","Real expenditure (in PPS_EU27)","Bread and cereals","1,197",""
"2007","Bulgaria","Real expenditure (in PPS_EU15)","Gross Domestic Product","83,966",""
"2007","Bulgaria","Real expenditure (in PPS_EU15)","Actual individual consumption","63,764",""
"2007","Bulgaria","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","7,509",""
"2007","Bulgaria","Real expenditure (in PPS_EU15)","Food","6,668",""
"2007","Bulgaria","Real expenditure (in PPS_EU15)","Bread and cereals","1,270",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU28)","Gross Domestic Product","10,600",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","8,000",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","900",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU28)","Food","800",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU28)","Bread and cereals","200",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU27)","Gross Domestic Product","10,600",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU27)","Actual individual consumption","8,000",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU27)","Food and non-alcoholic beverages","900",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU27)","Food","800",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU27)","Bread and cereals","200",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU15)","Gross Domestic Product","11,100",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU15)","Actual individual consumption","8,500",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU15)","Food and non-alcoholic beverages","1,000",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU15)","Food","900",""
"2007","Bulgaria","Real expenditure per capita (in PPS_EU15)","Bread and cereals","200",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU28=100)","Gross Domestic Product","41",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU28=100)","Actual individual consumption","45",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU28=100)","Food and non-alcoholic beverages","55",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU28=100)","Food","53",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU28=100)","Bread and cereals","57",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU27=100)","Gross Domestic Product","40",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU27=100)","Actual individual consumption","44",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU27=100)","Food and non-alcoholic beverages","54",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU27=100)","Food","53",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU27=100)","Bread and cereals","57",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU15=100)","Gross Domestic Product","36",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU15=100)","Actual individual consumption","40",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU15=100)","Food and non-alcoholic beverages","52",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU15=100)","Food","51",""
"2007","Bulgaria","Volume indices of real expenditure per capita in PPS (EU15=100)","Bread and cereals","54",""
"2007","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.91218",""
"2007","Denmark","Purchasing power parities (EU28=1)","Actual individual consumption","10.0742",""
"2007","Denmark","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","10.8527",""
"2007","Denmark","Purchasing power parities (EU28=1)","Food","10.6836",""
"2007","Denmark","Purchasing power parities (EU28=1)","Bread and cereals","12.0192",""
"2007","Denmark","Purchasing power parities (EU27=1)","Gross Domestic Product","9.89323",""
"2007","Denmark","Purchasing power parities (EU27=1)","Actual individual consumption","10.0570",""
"2007","Denmark","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","10.8428",""
"2007","Denmark","Purchasing power parities (EU27=1)","Food","10.6723",""
"2007","Denmark","Purchasing power parities (EU27=1)","Bread and cereals","12.0042",""
"2007","Denmark","Purchasing power parities (EU15=1)","Gross Domestic Product","9.39843",""
"2007","Denmark","Purchasing power parities (EU15=1)","Actual individual consumption","9.50292",""
"2007","Denmark","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","10.2752",""
"2007","Denmark","Purchasing power parities (EU15=1)","Food","10.0782",""
"2007","Denmark","Purchasing power parities (EU15=1)","Bread and cereals","11.3140",""
"2007","Denmark","Price level indices (EU28=100)","Gross Domestic Product","133.0",""
"2007","Denmark","Price level indices (EU28=100)","Actual individual consumption","135.2",""
"2007","Denmark","Price level indices (EU28=100)","Food and non-alcoholic beverages","145.7",""
"2007","Denmark","Price level indices (EU28=100)","Food","143.4",""
"2007","Denmark","Price level indices (EU28=100)","Bread and cereals","161.3",""
"2007","Denmark","Price level indices (EU27=100)","Gross Domestic Product","132.8",""
"2007","Denmark","Price level indices (EU27=100)","Actual individual consumption","135.0",""
"2007","Denmark","Price level indices (EU27=100)","Food and non-alcoholic beverages","145.5",""
"2007","Denmark","Price level indices (EU27=100)","Food","143.2",""
"2007","Denmark","Price level indices (EU27=100)","Bread and cereals","161.1",""
"2007","Denmark","Price level indices (EU15=100)","Gross Domestic Product","126.1",""
"2007","Denmark","Price level indices (EU15=100)","Actual individual consumption","127.5",""
"2007","Denmark","Price level indices (EU15=100)","Food and non-alcoholic beverages","137.9",""
"2007","Denmark","Price level indices (EU15=100)","Food","135.3",""
"2007","Denmark","Price level indices (EU15=100)","Bread and cereals","151.9",""
"2007","Denmark","Nominal expenditure in national currency","Gross Domestic Product","1,738,845",""
"2007","Denmark","Nominal expenditure in national currency","Actual individual consumption","1,118,380",""
"2007","Denmark","Nominal expenditure in national currency","Food and non-alcoholic beverages","87,328",""
"2007","Denmark","Nominal expenditure in national currency","Food","77,849",""
